row,move,count
1,g6,13068255
2,Nf3,32135824
3,Bg7,7834328
4,e3,9288488
5,d6,14374453
6,Be2,9268041
7,Nd7,7706560
8,O-O,42886051
9,e5,27142204
10,fxe5,3962802
11,Nxe5,9391615
12,Nc3,24675263
13,Nxf3,2697464
14,Bxf3,6060743
15,Nf6,30438475
16,b3,8360679
17,Bb2,4602693
18,c6,13182121
19,Rb1,4869525
20,d5,27107597
21,Ne2,5732397
22,Qe7,7220324
23,Ng3,3467330
24,Ne4,10492766
25,Nxe4,7962041
26,dxe4,5888664
27,Bxg7,1459809
28,Kxg7,1336585
29,f5,12597337
30,Qc1,1696077
31,Be6,7874267
32,Qb2,1448815
33,Qf6,5685851
34,Qa3,1161773
35,Rf7,2961074
36,c3,13345594
37,a6,12522403
38,Bd1,701393
39,Kg8,4049108
40,Bc2,2310712
41,Rd8,6147768
42,Rf2,2874264
43,Rd7,3876916
44,c4,15685006
45,Qd8,3097236
46,Qe5,3130359
47,Qb8,1119642
48,Rf8,4468150
49,Qf4,3355606
50,Rfd8,1552709
51,Bxe4,4056830
52,Rxd2,1219387
53,Kg7,6822478
54,Bf3,3026452
55,Kf7,6193446
56,e4,11272030
57,Qc7,6619256
58,Qb6,5480080
59,Qd4,3196507
60,Qxd4,4436009
61,Rxd4,1872750
62,exf5,2850682
63,Bxf5,2543756
64,Rb2,1995293
65,Kf2,5988502
66,h5,11555503
67,Kg3,4592360
68,Kf6,5016959
69,Kf4,3602039
70,g5,10776099
71,Rd3,2494629
72,g4,11219216
73,Rd4,1891295
74,h3,13826861
75,gxh3,829808
76,Bxh3,1058283
77,Bxh5,558072
78,Bf5,6960302
79,Be8,733846
80,Rh4,1259307
81,Rh3,1476584
82,Kg2,6495232
83,Re3,2625014
84,Rxe8,2220665
85,Rg8,3682847
86,Rg4,1436176
87,Kf3,4982212
88,Ke5,3357167
89,Re2,3615435
90,Re4,1961211
91,Rd2,3880762
92,Be4,3079584
93,Ke3,4611273
94,Ke1,2003588
95,Kd4,2966484
96,Kd2,4254159
97,Kc1,1448674
98,Kc3,2763219
99,Rh2,1419080
100,Rd1,6129759
101,e6,17981522
102,d4,21241134
103,c5,18217018
104,Nc6,24920339
105,Be3,10774125
106,Bd7,7280761
107,dxc5,3073543
108,Qa5,3652666
109,Qd2,6871403
110,Qxd2,1381733
111,Nbxd2,92774
112,Nge7,1552287
113,Nd4,8009540
114,b4,11964716
115,N7c6,21015
116,b5,13026201
117,Nxd4,8256595
118,Bxd4,3529923
119,Ng6,3565384
120,Bf6,3595461
121,gxf6,2463194
122,cxd5,7381972
123,exd5,11143376
124,Nb3,2496275
125,Rfe8,2098957
126,Bxb5,1439441
127,Nf4,4797182
128,Nxe2,967735
129,Kh1,5145619
130,Re1,10737096
131,d3,9964302
132,Ba6,2284312
133,cxd4,8954623
134,Bc4,11233190
135,exd6,1436897
136,Bxd6,2238334
137,Bxh2,439013
138,Kxh2,393111
139,Bb5,7279173
140,Bxd7,1605841
141,Kxd7,567271
142,Ng4,4831530
143,Kg1,3644289
144,Ke8,2501924
145,f4,13824898
146,Qxe3,1614631
147,Nf2,1123497
148,Kh2,4907030
149,Qxf4,1631464
150,Nxd1,525908
151,Nxc3,2521308
152,bxc3,3842308
153,Ke7,6077332
154,b6,9190227
155,a4,11413341
156,Qxa4,633350
157,Qxc4,1648831
158,Qxc2,1200462
159,Rf1,4421337
160,Rhd8,354482
161,Qc5,2505454
162,Qh5,4225684
163,Rxf1,1523226
164,Kxf1,618599
165,Rc8,6463828
166,Rc3,1847167
167,Qh3,1847612
168,Qf3,6567189
169,Qd1,2486875
170,Rc2,2869378
171,Qg1,571303
172,Qe1,2082993
173,Kc4,2535880
174,Kb5,1870668
175,Ka6,911620
176,Qc8,1847299
177,Kxa7,161963
178,Kxb6,225844
179,Ka7,868391
180,Bf4,8656676
181,Bg4,9552622
182,Nbd2,4137082
183,Bd6,9158447
184,Bg3,3452619
185,Bxg3,972469
186,hxg3,1607011
187,Nbd7,4194661
188,Bd3,12052082
189,Ng1,418638
190,Bxe2,1476058
191,Qc2,5527609
192,a5,11458439
193,axb5,2766998
194,Qxb5,1042705
195,Qa4,2759445
196,Rxa4,936707
197,Rxa5,918545
198,bxa5,749346
199,Ra8,2787392
200,Ke2,5546381
201,Nh3,1386101
202,h6,13523495
203,Ra3,1624707
204,Rc1,5883568
205,Kd1,1932486
206,Ne8,903595
207,Kc2,2929959
208,Nd6,3145071
209,Nd1,520508
210,Ra2,2018306
211,Nb2,395568
212,Nb6,3098896
213,Kb1,2627080
